city,lat,lng,country,code,population
Wausau,44.9616,-89.6439,United States,USA,74186
Camden,39.9361,-75.1072,United States,USA,74420
Schaumburg,42.0307,-88.0838,United States,USA,74446
Shanxian,34.7904,116.08,China,CHN,74459
Manokwari,-0.8711,134.0693,Indonesia,IDN,74504
Bolingbrook,41.6911,-88.1012,United States,USA,74518
Missouri City,29.5634,-95.5377,United States,USA,74561
Toledo,39.867,-4.0167,Spain,ESP,74632
Greenock,55.9333,-4.75,United Kingdom,GBR,74635
Cachoeira do Sul,-30.03,-52.91,Brazil,BRA,74694
Zephyrhills,28.2404,-82.1796,United States,USA,74712
Darhan,49.6167,106.35,Mongolia,MNG,74738
Franklin,35.9215,-86.8522,United States,USA,74794
Red Deer,52.2666,-113.8,Canada,CAN,74857
Evanston,42.0463,-87.6942,United States,USA,74895
Bombo,0.5833,32.5333,Uganda,UGA,75000
Gode,5.95,43.45,Ethiopia,ETH,75000
Oshkosh,44.0242,-88.561,United States,USA,75057
Idah,7.1104,6.7399,Nigeria,NGA,75087
Agrinio,38.6218,21.4077,Greece,GRC,75233
Kompong Chhnang,12.2505,104.6666,Cambodia,KHM,75244
Bethlehem,40.6266,-75.3679,United States,USA,75293
Union City,37.603,-122.0187,United States,USA,75322
Hilton Head Island,32.1896,-80.7499,United States,USA,75328
Campo Murao,-24.0496,-52.42,Brazil,BRA,75401
Arlington Heights,42.0955,-87.9825,United States,USA,75525
Nevsehir,38.624,34.724,Turkey,TUR,75527
Davis,38.5552,-121.7365,United States,USA,75553
Wyoming,42.8909,-85.7067,United States,USA,75567
Boynton Beach,26.5282,-80.0812,United States,USA,75569
Galway,53.2724,-9.0488,Ireland,IRL,75594
San Ramon,37.7625,-121.9366,United States,USA,75639
Layton,41.0773,-111.9618,United States,USA,75655
Buynaksk,42.8335,47.113,Russia,RUS,75800
Kamensk Shakhtinskiy,48.3318,40.2518,Russia,RUS,75814
Mackay,-21.1439,149.15,Australia,AUS,75922
Tailai,46.3904,123.41,China,CHN,75992
Baytown,29.7607,-94.9628,United States,USA,75992
Tamanrasset,22.785,5.5228,Algeria,DZA,76000
Saint Augustine,29.8979,-81.31,United States,USA,76129
Birobidzhan,48.7974,132.9508,Russia,RUS,76146
Sakhon Nakhon,17.1679,104.1479,Thailand,THA,76237
Tuban,-6.8995,112.05,Indonesia,IDN,76242
Babahoyo,-1.7996,-79.54,Ecuador,ECU,76279
Masvingo,-20.0596,30.82,Zimbabwe,ZWE,76311
Honiara,-9.438,159.9498,Solomon Islands,SLB,76328
Perris,33.7897,-117.2233,United States,USA,76331
Tucurui,-3.68,-49.72,Brazil,BRA,76337
Anniston,33.6713,-85.8137,United States,USA,76350
Gary,41.5906,-87.3472,United States,USA,76424
